/linux/cbir/model/RSI-CB256/Alexnet_hash_128.caffemodel /home/cad/disk/linux/cbir/feat_extra/class_val_alex_hash.prototxt fc8_hash_encode feat_extra 24747 /home/cad/disk/linux/cbir/feat_extra/rs_simi_alex_hash128.txt GPU 0
E0409 16:17:04.873520  6489 extract_features.cpp:85] Using GPU
E0409 16:17:04.873924  6489 extract_features.cpp:91] Using Device_id=0
E0409 16:17:06.577250  6489 extract_features.cpp:163] Extracting Features
E0409 16:19:21.417224  6489 extract_features.cpp:272] finish 0 images searching
E0409 16:19:23.574870  6489 extract_features.cpp:272] finish 100 images searching
E0409 16:19:25.728418  6489 extract_features.cpp:272] finish 200 images searching
E0409 16:19:27.956909  6489 extract_features.cpp:272] finish 300 images searching
E0409 16:19:30.123114  6489 extract_features.cpp:272] finish 400 images searching
E0409 16:19:32.252266  6489 extract_features.cpp:272] finish 500 images searching
E0409 16:19:34.383477  6489 extract_features.cpp:272] finish 600 images searching
E0409 16:19:36.512321  6489 extract_features.cpp:272] finish 700 images searching
E0409 16:19:38.643404  6489 extract_features.cpp:272] finish 800 images searching
E0409 16:19:40.778986  6489 extract_features.cpp:272] finish 900 images searching
E0409 16:19:42.913457  6489 extract_features.cpp:272] finish 1000 images searching
E0409 16:19:45.067229  6489 extract_features.cpp:272] finish 1100 images searching
E0409 16:19:47.225023  6489 extract_features.cpp:272] finish 1200 images searching
E0409 16:19:49.365236  6489 extract_features.cpp:272] finish 1300 images searching
E0409 16:19:51.495874  6489 extract_features.cpp:272] finish 1400 images searching
E0409 16:19:53.635658  6489 extract_features.cpp:272] finish 1500 images searching
E0409 16:19:55.762779  6489 extract_features.cpp:272] finish 1600 images searching
E0409 16:19:57.887465  6489 extract_features.cpp:272] finish 1700 images searching
E0409 16:20:00.013088  6489 extract_features.cpp:272] finish 1800 images searching
E0409 16:20:02.152340  6489 extract_features.cpp:272] finish 1900 images searching
E0409 16:20:04.293121  6489 extract_features.cpp:272] finish 2000 images searching
E0409 16:20:06.431327  6489 extract_features.cpp:272] finish 2100 images searching
E0409 16:20:08.572425  6489 extract_features.cpp:272] finish 2200 images searching
E0409 16:20:10.717154  6489 extract_features.cpp:272] finish 2300 images searching
E0409 16:20:13.070798  6489 extract_features.cpp:272] finish 2400 images searching
E0409 16:20:15.268688  6489 extract_features.cpp:272] finish 2500 images searching
E0409 16:20:17.409776  6489 extract_features.cpp:272] finish 2600 images searching
E0409 16:20:19.590426  6489 extract_features.cpp:272] finish 2700 images searching
E0409 16:20:21.786947  6489 extract_features.cpp:272] finish 2800 images searching
E0409 16:20:23.941854  6489 extract_features.cpp:272] finish 2900 images searching
E0409 16:20:26.083117  6489 extract_features.cpp:272] finish 3000 images searching
E0409 16:20:28.231101  6489 extract_features.cpp:272] finish 3100 images searching
E0409 16:20:30.370091  6489 extract_features.cpp:272] finish 3200 images searching
E0409 16:20:32.505481  6489 extract_features.cpp:272] finish 3300 images searching
E0409 16:20:34.644942  6489 extract_features.cpp:272] finish 3400 images searching
E0409 16:20:36.786376  6489 extract_features.cpp:272] finish 3500 images searching
E0409 16:20:38.954972  6489 extract_features.cpp:272] finish 3600 images searching
E0409 16:20:41.107578  6489 extract_features.cpp:272] finish 3700 images searching
E0409 16:20:43.243852  6489 extract_features.cpp:272] finish 3800 images searching
E0409 16:20:45.385458  6489 extract_features.cpp:272] finish 3900 images searching
E0409 16:20:47.528765  6489 extract_features.cpp:272] finish 4000 images searching
E0409 16:20:49.673105  6489 extract_features.cpp:272] finish 4100 images searching
E0409 16:20:51.806867  6489 extract_features.cpp:272] finish 4200 images searching
E0409 16:20:54.051548  6489 extract_features.cpp:272] finish 4300 images searching
E0409 16:20:56.195533  6489 extract_features.cpp:272] finish 4400 images searching
E0409 16:20:58.333739  6489 extract_features.cpp:272] finish 4500 images searching
E0409 16:21:00.475001  6489 extract_features.cpp:272] finish 4600 images searching
E0409 16:21:02.621759  6489 extract_features.cpp:272] finish 4700 images searching
E0409 16:21:04.763074  6489 extract_features.cpp:272] finish 4800 images searching
E0409 16:21:06.902220  6489 extract_features.cpp:272] finish 4900 images searching
E0409 16:21:09.045040  6489 extract_features.cpp:272] finish 5000 images searching
E0409 16:21:11.190696  6489 extract_features.cpp:272] finish 5100 images searching
E0409 16:21:13.346490  6489 extract_features.cpp:272] finish 5200 images searching
E0409 16:21:15.494756  6489 extract_features.cpp:272] finish 5300 images searching
E0409 16:21:17.641566  6489 extract_features.cpp:272] finish 5400 images searching
E0409 16:21:19.788959  6489 extract_features.cpp:272] finish 5500 images searching
E0409 16:21:21.930518  6489 extract_features.cpp:272] finish 5600 images searching
E0409 16:21:24.070638  6489 extract_features.cpp:272] finish 5700 images searching
E0409 16:21:26.223992  6489 extract_features.cpp:272] finish 5800 images searching
E0409 16:21:28.370438  6489 extract_features.cpp:272] finish 5900 images searching
E0409 16:21:30.538409  6489 extract_features.cpp:272] finish 6000 images searching
E0409 16:21:32.684469  6489 extract_features.cpp:272] finish 6100 images searching
E0409 16:21:34.828342  6489 extract_features.cpp:272] finish 6200 images searching
E0409 16:21:36.983763  6489 extract_features.cpp:272] finish 6300 images searching
E0409 16:21:39.266662  6489 extract_features.cpp:272] finish 6400 images searching
E0409 16:21:41.403240  6489 extract_features.cpp:272] finish 6500 images searching
E0409 16:21:43.546747  6489 extract_features.cpp:272] finish 6600 images searching
E0409 16:21:45.686384  6489 extract_features.cpp:272] finish 6700 images searching
E0409 16:21:47.828025  6489 extract_features.cpp:272] finish 6800 images searching
E0409 16:21:49.968436  6489 extract_features.cpp:272] finish 6900 images searching
E0409 16:21:52.109632  6489 extract_features.cpp:272] finish 7000 images searching
E0409 16:21:54.253672  6489 extract_features.cpp:272] finish 7100 images searching
E0409 16:21:56.393330  6489 extract_features.cpp:272] finish 7200 images searching
E0409 16:21:58.530007  6489 extract_features.cpp:272] finish 7300 images searching
E0409 16:22:00.667363  6489 extract_features.cpp:272] finish 7400 images searching
E0409 16:22:02.807029  6489 extract_features.cpp:272] finish 7500 images searching
E0409 16:22:04.946349  6489 extract_features.cpp:272] finish 7600 images searching
E0409 16:22:07.083470  6489 extract_features.cpp:272] finish 7700 images searching
E0409 16:22:09.222339  6489 extract_features.cpp:272] finish 7800 images searching
E0409 16:22:11.362802  6489 extract_features.cpp:272] finish 7900 images searching
E0409 16:22:13.501941  6489 extract_features.cpp:272] finish 8000 images searching
E0409 16:22:15.645568  6489 extract_features.cpp:272] finish 8100 images searching
E0409 16:22:17.786667  6489 extract_features.cpp:272] finish 8200 images searching
E0409 16:22:19.930676  6489 extract_features.cpp:272] finish 8300 images searching
E0409 16:22:22.073345  6489 extract_features.cpp:272] finish 8400 images searching
E0409 16:22:24.219746  6489 extract_features.cpp:272] finish 8500 images searching
E0409 16:22:26.366480  6489 extract_features.cpp:272] finish 8600 images searching
E0409 16:22:28.516505  6489 extract_features.cpp:272] finish 8700 images searching
E0409 16:22:30.679776  6489 extract_features.cpp:272] finish 8800 images searching
E0409 16:22:32.831724  6489 extract_features.cpp:272] finish 8900 images searching
E0409 16:22:34.976461  6489 extract_features.cpp:272] finish 9000 images searching
E0409 16:22:37.121060  6489 extract_features.cpp:272] finish 9100 images searching
E0409 16:22:39.259693  6489 extract_features.cpp:272] finish 9200 images searching
E0409 16:22:41.400589  6489 extract_features.cpp:272] finish 9300 images searching
E0409 16:22:43.554277  6489 extract_features.cpp:272] finish 9400 images searching
E0409 16:22:45.696319  6489 extract_features.cpp:272] finish 9500 images searching
E0409 16:22:47.838434  6489 extract_features.cpp:272] finish 9600 images searching
E0409 16:22:49.973325  6489 extract_features.cpp:272] finish 9700 images searching
E0409 16:22:52.113844  6489 extract_features.cpp:272] finish 9800 images searching
E0409 16:22:54.248291  6489 extract_features.cpp:272] finish 9900 images searching
E0409 16:22:56.384112  6489 extract_features.cpp:272] finish 10000 images searching
E0409 16:22:58.520929  6489 extract_features.cpp:272] finish 10100 images searching
E0409 16:23:00.648422  6489 extract_features.cpp:272] finish 10200 images searching
E0409 16:23:02.772503  6489 extract_features.cpp:272] finish 10300 images searching
E0409 16:23:04.901787  6489 extract_features.cpp:272] finish 10400 images searching
E0409 16:23:07.036430  6489 extract_features.cpp:272] finish 10500 images searching
E0409 16:23:09.166282  6489 extract_features.cpp:272] finish 10600 images searching
E0409 16:23:11.295372  6489 extract_features.cpp:272] finish 10700 images searching
E0409 16:23:13.431231  6489 extract_features.cpp:272] finish 10800 images searching
E0409 16:23:15.558305  6489 extract_features.cpp:272] finish 10900 images searching
